Ename,Age,NumCompaniesWorked,Previous company experience,Job role in previous company,Number of years experience in prevoius company,Reason for leaving,Salary in previous company,Present expectation Y/N,Expectation of hike in %,Promotion Y/N,New designation after promotion,Attrition,BusinessTravel,Department,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager
Anthony Freeman,35,3,Yes,Junior Sales Executive,0,Lack of flexible work options,4791,No,0,No,Sales Executive,Yes,Travel_Rarely,Sales,3,1100,4,Male,3,3,Sales Executive,1,Single,9582,Yes,4,0,9,8,7
Kristin Gordon,33,2,Yes,Research Scientist,1,for a higher pay,2254,No,0,No,Research Scientist,Yes,Travel_Frequently,Research & Development,4,1101,1,Female,2,2,Research Scientist,3,Single,4508,No,4,0,14,13,8
Danny Le,28,1,Yes,Laboratory Technician,1,Lack of flexible work options,1103.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,2,1102,1,Male,3,1,Laboratory Technician,3,Divorced,2207,No,3,1,4,4,2
Jason Monroe,34,1,Yes,Healthcare Representative,0,Lack of flexible work options,3878,No,0,No,Healthcare Representative,No,Travel_Frequently,Research & Development,1,1103,1,Male,3,2,Healthcare Representative,4,Single,7756,No,3,0,7,6,4
Ruth Joyce,37,1,Yes,Junior Sales Executive,2,Lack of flexible work options,3347,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,1105,4,Female,2,2,Sales Executive,4,Divorced,6694,Yes,3,3,8,1,0
Brett Wheeler,25,1,No,Laboratory Technician,1,No previous experience,1845.5,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,1,1106,4,Male,3,1,Laboratory Technician,4,Married,3691,Yes,3,1,7,7,6
Jacob Alvarez,26,1,Yes,Laboratory Technician,1,Lack of flexible work options,1188.5,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,3,1107,1,Male,3,1,Laboratory Technician,3,Divorced,2377,No,4,1,1,1,0
Ian Jimenez,33,1,Yes,Research Scientist,4,Lack of flexible work options,1156.5,No,0,No,Research Scientist,Yes,Travel_Rarely,Research & Development,3,1108,1,Male,2,1,Research Scientist,2,Single,2313,Yes,4,0,5,2,2
Robert Sandoval,42,4,Yes,Manager,0,Lack of appreciation or recognition,8832.5,No,0,No,Manager,No,Travel_Rarely,Research & Development,2,1109,4,Male,3,4,Manager,1,Married,17665,No,3,1,23,22,7
Leon Collins,28,1,Yes,Laboratory Technician,1,Lack of flexible work options,1298,Yes,0.15,Yes,Laboratory Technician,Yes,Travel_Frequently,Research & Development,3,1111,1,Male,2,1,Laboratory Technician,2,Divorced,2596,No,3,2,1,1,0
Daniel Hahn,50,1,Yes,Junior Sales Executive,3,Lack of flexible work options,2364,Yes,0.15,Yes,Sales Executive,Yes,Travel_Frequently,Sales,4,1113,4,Male,3,2,Sales Executive,3,Single,4728,Yes,3,0,5,5,0
Angela Singh,33,1,Yes,Junior Sales Executive,0,Lack of flexible work options,2151,Yes,0.15,Yes,Sales Executive,No,Travel_Frequently,Sales,3,1114,4,Female,3,2,Sales Executive,2,Married,4302,No,3,1,4,3,2
Brian Harris,34,1,Yes,Research Scientist,3,Lack of flexible work options,1489.5,Yes,0.15,Yes,Research Scientist,No,Non-Travel,Research & Development,4,1115,3,Male,2,1,Research Scientist,4,Married,2979,No,3,3,6,5,0
Matthew Byrd,48,4,Yes,Manager,2,Lack of flexible work options,8442.5,Yes,0.35,Yes,Manager,No,Non-Travel,Research & Development,4,1116,1,Male,4,4,Manager,4,Single,16885,No,4,0,27,5,1
Julia Parker,45,3,Yes,Junior Sales Executive,1,for a higher pay,2796.5,Yes,0.3,Yes,Sales Executive,No,Non-Travel,Sales,4,1117,2,Female,2,2,Sales Executive,3,Married,5593,No,3,1,15,15,12
Mark Morales,52,4,Yes,Healthcare Representative,7,Lack of flexible work options,5222.5,Yes,0.35,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,4,1118,2,Male,3,3,Healthcare Representative,2,Single,10445,No,3,0,18,8,0
William Pitts,38,2,Yes,Junior Sales Executive,0,Lack of flexible work options,4370,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,4,1119,3,Male,2,3,Sales Executive,3,Divorced,8740,Yes,3,2,9,8,7
Laura Dillon,29,3,Yes,Research Scientist,4,Lack of flexible work options,1257,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,1120,3,Female,3,1,Research Scientist,4,Divorced,2514,No,4,1,11,7,7
Laurie Watkins,28,2,Yes,Manufacturing Director,0,Lack of flexible work options,3827.5,Yes,0.35,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,3,1121,4,Female,3,3,Manufacturing Director,2,Divorced,7655,No,3,3,10,9,7
Daniel Fowler,46,4,Yes,Manager,3,for a higher pay,8732.5,Yes,0.35,Yes,Manager,No,Travel_Rarely,Sales,1,1124,1,Male,3,4,Manager,3,Married,17465,No,3,1,23,12,9
Matthew Riddle,38,3,Yes,Junior Sales Executive,7,Lack of flexible work options,3675.5,Yes,0.15,Yes,Sales Executive,No,Travel_Rarely,Sales,2,1125,4,Male,3,3,Sales Executive,2,Single,7351,No,3,0,10,1,0
Melissa Todd,43,4,Yes,Manufacturing Director,8,Lack of flexible work options,5410,Yes,0.35,Yes,Manufacturing Director,No,Travel_Frequently,Research & Development,3,1126,3,Female,3,3,Manufacturing Director,1,Married,10820,No,3,1,18,8,1
James Anderson,39,4,Yes,Healthcare Representative,7,Lack of appreciation or recognition,6084.5,Yes,0.5,Yes,Healthcare Representative,Yes,Travel_Frequently,Research & Development,3,1127,1,Male,3,4,Healthcare Representative,4,Divorced,12169,No,3,3,21,18,5
John Brown,40,4,Yes,Research Director,1,Lack of appreciation or recognition,9813,Yes,0.5,Yes,Research Director,No,Travel_Rarely,Research & Development,3,1128,3,Male,2,5,Research Director,3,Single,19626,No,3,0,21,20,9
Alison Morrison,21,1,No,Research Scientist,1,No previous experience,1035,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,1,1131,4,Female,2,1,Research Scientist,2,Single,2070,Yes,3,0,2,2,2
Mark Collins,39,2,Yes,Laboratory Technician,9,Lack of flexible work options,3391,Yes,0.15,Yes,Laboratory Technician,No,Non-Travel,Research & Development,3,1132,3,Male,3,2,Laboratory Technician,2,Single,6782,No,3,0,9,5,3
William Myers,36,4,Yes,Manufacturing Director,2,for a higher pay,3889.5,Yes,0.35,Yes,Manufacturing Director,No,Non-Travel,Research & Development,4,1133,1,Male,3,2,Manufacturing Director,4,Single,7779,No,4,0,18,11,9
Michael Patel,31,1,Yes,Sales Representative,0,Lack of flexible work options,1395.5,Yes,0.15,Yes,Sales Representative,No,Travel_Frequently,Sales,3,1135,3,Male,4,1,Sales Representative,4,Married,2791,No,3,1,3,2,2
Isaac Patton,28,1,Yes,Research Scientist,0,Lack of flexible work options,1600.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,1,1136,1,Male,2,1,Research Scientist,2,Married,3201,No,3,0,6,5,4
James Ruiz,35,1,Yes,Junior Sales Executive,1,Lack of flexible work options,2484,Yes,0.15,Yes,Sales Executive,No,Travel_Frequently,Sales,2,1137,4,Male,3,2,Sales Executive,4,Divorced,4968,No,3,1,5,5,2
Bobby Todd,49,4,Yes,Junior Sales Executive,6,Lack of flexible work options,6560,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,4,1138,4,Male,2,4,Sales Executive,2,Married,13120,No,3,1,22,9,3
Christopher Glass,34,1,Yes,Manufacturing Director,2,Lack of flexible work options,2016.5,Yes,0.15,Yes,Manufacturing Director,No,Travel_Frequently,Research & Development,2,1140,4,Male,3,2,Manufacturing Director,3,Single,4033,No,3,0,5,3,2
Nicole Coffey,29,1,Yes,Research Scientist,0,Lack of flexible work options,1645.5,Yes,0.35,Yes,Research Scientist,No,Travel_Frequently,Research & Development,3,1143,4,Female,3,1,Research Scientist,2,Divorced,3291,No,3,2,8,7,1
Kevin Martin,42,3,Yes,Laboratory Technician,4,Lack of flexible work options,2136,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,3,1148,2,Male,1,2,Laboratory Technician,4,Single,4272,No,3,0,16,1,0
Brett Richardson,29,3,Yes,Manufacturing Director,1,for a higher pay,2528,Yes,0.35,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,1,1150,2,Male,2,2,Manufacturing Director,4,Married,5056,Yes,3,1,10,10,2
Benjamin Rodriguez,38,1,Yes,Human Resources,1,Lack of flexible work options,1422,Yes,0.35,Yes,Human Resources,No,Travel_Rarely,Human Resources,3,1152,3,Male,4,1,Human Resources,3,Married,2844,No,3,1,7,7,0
Thomas Harris,28,1,Yes,Research Scientist,1,Lack of flexible work options,1351.5,Yes,0.15,Yes,Research Scientist,No,Travel_Frequently,Research & Development,3,1154,3,Male,2,1,Research Scientist,3,Divorced,2703,Yes,3,1,3,3,2
Robert Sullivan,18,0,No,Laboratory Technician,1,No previous experience,952,Yes,0.35,Yes,Laboratory Technician,Yes,Non-Travel,Research & Development,1,1156,3,Male,3,1,Laboratory Technician,3,Single,1904,No,3,0,0,5,0
Amber Shaffer,33,1,Yes,Junior Sales Executive,0,Lack of flexible work options,4112,Yes,0.15,Yes,Sales Executive,Yes,Travel_Rarely,Sales,4,1157,1,Female,3,2,Sales Executive,1,Single,8224,Yes,3,0,6,5,3
Dennis Rogers,41,1,Yes,Laboratory Technician,3,Lack of flexible work options,2383,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,4,1158,2,Male,3,1,Laboratory Technician,4,Married,4766,Yes,3,1,6,1,0
Jason Jones,31,1,Yes,Laboratory Technician,1,Lack of flexible work options,1305,Yes,0.15,Yes,Laboratory Technician,Yes,Travel_Frequently,Research & Development,3,1160,3,Male,3,1,Laboratory Technician,3,Married,2610,No,3,1,2,2,2
Regina Smith,37,2,Yes,Healthcare Representative,7,Lack of flexible work options,2865.5,Yes,0.35,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,2,1161,3,Female,2,2,Healthcare Representative,4,Divorced,5731,No,3,2,9,6,3
William Gould,27,1,Yes,Research Scientist,1,Lack of flexible work options,1269.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,3,1162,4,Male,2,1,Research Scientist,3,Married,2539,No,3,1,4,4,2
Amy Rodgers,34,1,Yes,Junior Sales Executive,1,Lack of flexible work options,2857,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,1,1163,2,Female,3,2,Sales Executive,3,Married,5714,No,4,0,6,6,3
Jeffery Hamilton,35,1,Yes,Human Resources,1,Lack of flexible work options,2161.5,Yes,0.15,Yes,Human Resources,No,Travel_Rarely,Human Resources,4,1164,3,Male,3,1,Human Resources,3,Single,4323,No,3,0,6,5,4
Samantha Brown,29,3,Yes,Junior Sales Executive,1,for a higher pay,3668,Yes,0.3,Yes,Sales Executive,Yes,Travel_Rarely,Sales,1,1165,4,Female,2,3,Sales Executive,1,Married,7336,No,3,1,11,11,10
Leah Crawford,40,4,Yes,Research Director,9,Lack of appreciation or recognition,6749.5,Yes,0.5,Yes,Research Director,No,Travel_Frequently,Research & Development,4,1166,2,Female,3,3,Research Director,3,Single,13499,No,3,0,20,18,13
Michael Howell,42,4,Yes,Junior Sales Executive,0,Lack of appreciation or recognition,6879,Yes,0.5,Yes,Sales Executive,Yes,Travel_Frequently,Sales,3,1167,3,Male,3,4,Sales Executive,1,Single,13758,Yes,3,0,22,21,14
Thomas Freeman,42,2,Yes,Junior Sales Executive,7,Lack of flexible work options,2577.5,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,4,1171,2,Male,3,2,Sales Executive,1,Single,5155,No,3,0,9,6,5
Matthew Miller,35,3,Yes,Laboratory Technician,6,Lack of flexible work options,1129,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,4,1172,4,Male,2,1,Laboratory Technician,3,Married,2258,No,3,1,10,8,7
Lawrence Douglas,24,1,No,Laboratory Technician,8,No previous experience,1798.5,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,3,1173,4,Male,3,1,Laboratory Technician,2,Single,3597,No,4,0,6,4,2
Erica Smith,28,1,Yes,Laboratory Technician,1,Lack of flexible work options,1257.5,Yes,0.15,Yes,Laboratory Technician,Yes,Travel_Rarely,Research & Development,1,1175,3,Female,3,1,Laboratory Technician,4,Married,2515,Yes,3,0,1,1,0
James Rocha,26,1,Yes,Laboratory Technician,1,Lack of flexible work options,2210,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,4,1177,1,Male,4,1,Laboratory Technician,4,Married,4420,No,4,1,8,8,7
Steven Anderson,30,2,Yes,Junior Sales Executive,1,for a higher pay,3289,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,3,1179,3,Male,2,2,Sales Executive,3,Married,6578,No,3,1,10,10,4
Lisa Sanchez,40,4,Yes,Research Scientist,3,Lack of flexible work options,2211,Yes,0.35,Yes,Research Scientist,No,Travel_Frequently,Research & Development,2,1180,3,Female,2,2,Research Scientist,4,Married,4422,Yes,3,1,16,1,0
Willie Johnson,35,3,Yes,Manufacturing Director,2,Lack of flexible work options,5137,Yes,0.35,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,3,1182,3,Male,2,3,Manufacturing Director,2,Divorced,10274,No,3,1,15,7,4
Nicholas Park,34,2,Yes,Healthcare Representative,0,for a higher pay,2671.5,Yes,0.3,Yes,Healthcare Representative,No,Travel_Frequently,Research & Development,3,1184,4,Male,2,2,Healthcare Representative,1,Single,5343,No,4,0,14,13,9
Christopher Jones,35,1,Yes,Laboratory Technician,1,Lack of flexible work options,1188,Yes,0.15,Yes,Laboratory Technician,No,Travel_Frequently,Research & Development,4,1185,4,Male,2,1,Laboratory Technician,4,Married,2376,No,3,1,2,2,2
Marissa Garcia,43,1,Yes,Junior Sales Executive,8,Lack of flexible work options,2673,Yes,0.15,Yes,Sales Executive,Yes,Travel_Rarely,Sales,3,1188,1,Female,1,2,Sales Executive,3,Single,5346,No,3,0,7,4,3
Sharon Phelps,32,1,Yes,Sales Representative,1,Lack of flexible work options,1413.5,No,0,No,Sales Representative,No,Non-Travel,Sales,1,1190,3,Female,3,1,Sales Representative,1,Divorced,2827,No,3,3,1,1,0
Paula Garcia,56,4,Yes,Manager,4,Lack of flexible work options,9971.5,No,0,No,Manager,No,Travel_Rarely,Research & Development,4,1191,4,Female,3,5,Manager,1,Divorced,19943,No,3,1,28,5,2
Candice Diaz,29,3,Yes,Laboratory Technician,1,for a higher pay,1565.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,1,1192,2,Female,3,1,Laboratory Technician,4,Married,3131,No,3,1,10,10,8
Mark Harding,19,1,No,Research Scientist,1,No previous experience,1276,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,2,1193,3,Male,3,1,Research Scientist,1,Single,2552,No,4,0,1,1,0
Bianca Davis,45,1,Yes,Research Scientist,4,Lack of flexible work options,2238.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,1195,1,Female,3,1,Research Scientist,3,Married,4477,Yes,3,1,7,3,2
Holly Sullivan,37,2,Yes,Manufacturing Director,1,for a higher pay,3237,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,3,1196,4,Female,2,2,Manufacturing Director,4,Married,6474,No,3,1,14,14,11
Willie Gilbert,20,1,No,Laboratory Technician,1,No previous experience,1516.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,3,1198,1,Male,2,1,Laboratory Technician,3,Single,3033,No,3,0,2,2,2
Shawn Lawson,44,1,Yes,Research Scientist,1,Lack of flexible work options,1468,No,0,No,Research Scientist,Yes,Travel_Rarely,Research & Development,4,1200,3,Male,3,1,Research Scientist,3,Single,2936,Yes,3,0,6,6,2
Katie Duffy,53,4,Yes,Manager,3,Lack of flexible work options,9303,No,0,No,Manager,No,Travel_Rarely,Research & Development,2,1201,4,Female,3,5,Manager,3,Divorced,18606,No,3,1,26,7,7
Teresa Turner,29,1,Yes,Research Scientist,0,Lack of flexible work options,1084,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,1,1202,2,Female,1,1,Research Scientist,4,Married,2168,Yes,3,1,6,5,3
Adam Dominguez,22,1,No,Research Scientist,0,No previous experience,1426.5,No,0,No,Research Scientist,Yes,Travel_Frequently,Research & Development,4,1203,3,Male,2,1,Research Scientist,4,Married,2853,Yes,3,1,1,5,0
Cheryl Jones,46,4,Yes,Manager,8,Lack of opportunities for carrier growth and development,8524,No,0,No,Manager,No,Travel_Rarely,Sales,3,1204,3,Female,3,4,Manager,1,Married,17048,No,4,0,28,26,9
Kevin Owens,44,1,Yes,Research Scientist,2,Lack of flexible work options,1145,No,0,No,Research Scientist,No,Non-Travel,Research & Development,3,1206,4,Male,1,1,Research Scientist,3,Single,2290,No,3,0,6,5,0
Jeff Richards,33,1,Yes,Human Resources,1,Lack of flexible work options,1800,No,0,No,Human Resources,No,Travel_Rarely,Human Resources,3,1207,2,Male,3,1,Human Resources,3,Married,3600,No,3,1,5,5,4
Darryl Gonzales,41,1,Yes,Research Scientist,6,Lack of flexible work options,1053.5,No,0,No,Research Scientist,Yes,Non-Travel,Research & Development,2,1210,1,Male,2,1,Research Scientist,1,Divorced,2107,No,3,1,5,1,0
Jason Wright,30,1,Yes,Junior Sales Executive,8,Lack of flexible work options,2057.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,1211,3,Male,3,2,Sales Executive,1,Divorced,4115,No,3,3,8,4,3
Troy Barnett,40,1,Yes,Junior Sales Executive,5,Lack of flexible work options,2163.5,No,0,No,Sales Executive,No,Travel_Frequently,Sales,4,1212,2,Male,3,2,Sales Executive,2,Married,4327,No,3,3,5,5,0
Alexandra Martin,50,4,Yes,Manager,2,Lack of flexible work options,8928,No,0,No,Manager,No,Travel_Frequently,Research & Development,3,1215,4,Female,3,4,Manager,1,Married,17856,No,4,1,32,2,2
Joshua Gardner,28,1,Yes,Laboratory Technician,1,Lack of flexible work options,1598,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,4,1216,4,Male,2,1,Laboratory Technician,1,Married,3196,No,3,3,6,6,3
Dylan Levy,46,4,Yes,Research Director,5,Lack of flexible work options,9540.5,No,0,No,Research Director,No,Travel_Rarely,Research & Development,2,1217,4,Male,3,5,Research Director,2,Married,19081,No,3,1,25,4,3
Dylan Mcintyre,35,3,Yes,Junior Sales Executive,3,Lack of flexible work options,4483,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,1218,3,Male,3,2,Sales Executive,1,Married,8966,Yes,3,3,15,7,7
Kristina Ward,24,1,No,Laboratory Technician,1,No previous experience,1105,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,2,1219,4,Female,3,1,Laboratory Technician,2,Married,2210,No,3,1,1,1,0
Emily Lee,33,2,Yes,Junior Sales Executive,1,for a higher pay,2269.5,No,0,No,Sales Executive,No,Travel_Frequently,Sales,3,1220,2,Female,3,2,Sales Executive,3,Married,4539,No,3,1,10,10,1
Benjamin Ross,36,1,Yes,Laboratory Technician,1,Lack of flexible work options,1370.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,4,1221,3,Male,1,1,Laboratory Technician,3,Divorced,2741,No,3,1,7,7,7
Lawrence Miller,30,3,Yes,Laboratory Technician,1,for a higher pay,1745.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,4,1224,3,Male,3,2,Laboratory Technician,3,Divorced,3491,No,3,3,10,10,9
Jack Davila,44,4,Yes,Research Scientist,1,Lack of opportunities for carrier growth and development,2270.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,4,1225,4,Male,3,2,Research Scientist,4,Single,4541,No,4,0,20,20,17
Christopher Pineda,20,1,No,Sales Representative,1,No previous experience,1339,No,0,No,Sales Representative,No,Travel_Rarely,Sales,3,1226,3,Male,4,1,Sales Representative,4,Single,2678,No,3,0,2,2,2
Justin Phillips,46,2,Yes,Manufacturing Director,2,Lack of flexible work options,3689.5,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,4,1228,4,Male,3,2,Manufacturing Director,4,Divorced,7379,No,3,1,12,6,4
Angel Miller,42,3,Yes,Human Resources,7,Lack of flexible work options,3136,No,0,No,Human Resources,No,Non-Travel,Human Resources,5,1231,4,Male,4,2,Human Resources,1,Married,6272,No,3,1,10,4,3
Anthony Valenzuela,60,2,Yes,Junior Sales Executive,0,for a higher pay,2610,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,1233,2,Male,4,2,Sales Executive,4,Divorced,5220,Yes,3,1,12,11,9
Stacey Ware,32,1,Yes,Laboratory Technician,1,Lack of flexible work options,1371.5,No,0,No,Laboratory Technician,No,Travel_Frequently,Research & Development,3,1234,3,Female,2,1,Laboratory Technician,2,Married,2743,No,4,1,2,2,2
Sarah Walton,32,3,Yes,Research Scientist,4,Lack of flexible work options,2499,No,0,No,Research Scientist,No,Travel_Frequently,Research & Development,2,1235,4,Female,3,2,Research Scientist,3,Single,4998,Yes,3,0,10,8,7
Laura Diaz,36,4,Yes,Manufacturing Director,2,Lack of flexible work options,5126,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,3,1237,3,Female,1,3,Manufacturing Director,1,Divorced,10252,Yes,4,1,17,7,7
Kenneth Smith,33,2,Yes,Research Scientist,0,for a higher pay,1390.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,1238,1,Male,3,1,Research Scientist,4,Married,2781,No,3,1,15,14,10
Gina Johns,40,1,Yes,Junior Sales Executive,7,Lack of flexible work options,3426,No,0,No,Sales Executive,No,Travel_Rarely,Sales,3,1239,2,Female,2,2,Sales Executive,2,Divorced,6852,No,3,1,7,5,3
Jacob Wong,25,1,No,Junior Sales Executive,0,No previous experience,2475,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,1240,3,Male,3,2,Sales Executive,4,Single,4950,No,3,0,5,4,1
Matthew Beck,30,3,Yes,Research Scientist,0,for a higher pay,1789.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,1241,4,Male,3,1,Research Scientist,2,Married,3579,Yes,4,1,12,11,7
Jacqueline Lopez,42,4,Yes,Research Director,3,Lack of flexible work options,6595.5,No,0,No,Research Director,No,Travel_Frequently,Research & Development,5,1242,1,Female,3,3,Research Director,1,Married,13191,Yes,3,0,20,1,0
Carolyn Bryant,35,3,Yes,Junior Sales Executive,4,for a higher pay,5188.5,No,0,No,Sales Executive,No,Non-Travel,Sales,2,1243,3,Female,2,3,Sales Executive,4,Married,10377,Yes,3,1,16,13,12
Nathan Williams,27,2,Yes,Research Scientist,1,Lack of flexible work options,1117.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,1244,1,Male,3,1,Research Scientist,1,Married,2235,Yes,3,2,9,9,8
Gina Chapman,54,4,Yes,Manufacturing Director,7,Lack of flexible work options,5251,No,0,No,Manufacturing Director,No,Travel_Frequently,Research & Development,4,1245,4,Female,3,3,Manufacturing Director,3,Divorced,10502,No,3,1,33,5,4
Kara Rodriguez,44,3,Yes,Research Scientist,1,for a higher pay,1005.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,1,1246,1,Female,4,1,Research Scientist,4,Married,2011,No,3,1,10,10,7
Michelle Pearson,19,1,No,Research Scientist,1,No previous experience,929.5,No,0,No,Research Scientist,Yes,Non-Travel,Research & Development,3,1248,1,Female,2,1,Research Scientist,2,Single,1859,Yes,4,0,1,1,0
Rebecca Page,29,1,Yes,Research Scientist,1,Lack of flexible work options,1880,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,1249,1,Female,3,1,Research Scientist,4,Divorced,3760,No,3,3,3,3,2
Matthew Carter,54,4,Yes,Research Director,3,for a higher pay,8889.5,No,0,No,Research Director,No,Travel_Rarely,Research & Development,3,1250,4,Male,3,4,Research Director,4,Married,17779,No,3,0,36,10,9
William Guzman,31,1,Yes,Healthcare Representative,1,Lack of flexible work options,3416.5,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,2,1251,3,Male,3,2,Healthcare Representative,1,Married,6833,Yes,3,0,6,6,1
Carmen Lyons,31,2,Yes,Healthcare Representative,1,for a higher pay,3406,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,3,1252,3,Female,2,2,Healthcare Representative,1,Single,6812,No,3,0,10,10,8
Gina Rogers,59,3,Yes,Junior Sales Executive,5,Lack of flexible work options,2585.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,3,1254,3,Female,2,2,Sales Executive,4,Single,5171,No,3,0,13,6,5
Cody Vang,43,4,Yes,Research Director,3,Lack of flexible work options,9870,No,0,No,Research Director,No,Travel_Rarely,Research & Development,3,1255,3,Male,1,5,Research Director,4,Married,19740,No,3,1,25,8,7
William Carroll,49,4,Yes,Manager,2,Lack of flexible work options,9355.5,No,0,No,Manager,No,Travel_Rarely,Research & Development,2,1256,1,Male,2,5,Manager,3,Married,18711,No,3,1,23,1,0
Luis Nichols,36,2,Yes,Research Scientist,1,for a higher pay,1846,Yes,0.3,Yes,Research Scientist,No,Travel_Frequently,Research & Development,3,1257,3,Male,3,1,Research Scientist,2,Married,3692,No,3,0,12,11,7
Edward Miller,48,1,Yes,Laboratory Technician,5,Lack of flexible work options,1279.5,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,2,1258,4,Male,4,1,Laboratory Technician,2,Single,2559,No,3,0,7,1,0
Evan Gonzalez,27,1,Yes,Research Scientist,1,Lack of flexible work options,1258.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,1259,1,Male,3,1,Research Scientist,3,Divorced,2517,No,3,3,5,5,3
Thomas Higgins,29,1,Yes,Healthcare Representative,1,Lack of flexible work options,3311.5,Yes,0.35,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,3,1260,3,Male,3,2,Healthcare Representative,4,Divorced,6623,Yes,3,2,6,6,0
Jason Campos,48,4,Yes,Research Director,6,Lack of flexible work options,9132.5,Yes,0.35,Yes,Research Director,No,Travel_Rarely,Research & Development,3,1263,4,Male,2,5,Research Director,4,Single,18265,No,3,0,25,1,0
Pamela Howard,29,3,Yes,Research Director,3,Lack of flexible work options,8062,Yes,0.35,Yes,Research Director,No,Travel_Rarely,Research & Development,3,1264,4,Female,2,4,Research Director,4,Divorced,16124,No,3,2,9,7,7
Tina Wood,34,1,Yes,Research Scientist,0,Lack of flexible work options,1292.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,3,1265,3,Female,4,1,Research Scientist,3,Married,2585,No,3,0,2,1,0
Ryan Woods,44,4,Yes,Manager,7,Lack of opportunities for carrier growth and development,9106.5,Yes,0.5,Yes,Manager,No,Travel_Rarely,Sales,3,1267,2,Male,3,5,Manager,2,Married,18213,No,3,1,26,22,10
Chase Young,33,2,Yes,Junior Sales Executive,0,Lack of flexible work options,4190,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,5,1268,4,Male,4,3,Sales Executive,3,Divorced,8380,Yes,3,2,10,9,8
Margaret Browning,19,1,No,Research Scientist,1,No previous experience,1497,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,3,1269,2,Female,4,1,Research Scientist,4,Single,2994,Yes,3,0,1,1,1
Daniel Adams,23,1,No,Research Scientist,1,No previous experience,611.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,1270,4,Male,3,1,Research Scientist,3,Married,1223,No,4,1,1,1,1
